Timestamp,Data
2025-09-23 11:52:32.322,123
2025-09-23 11:52:32.334,he
2025-09-23 11:52:32.423,123
2025-09-23 11:52:32.433,he
2025-09-23 11:52:32.518,123
2025-09-23 11:52:32.529,he
2025-09-23 11:52:32.625,123
2025-09-23 11:52:32.636,he
2025-09-23 11:52:32.731,123
2025-09-23 11:52:32.742,he
2025-09-23 11:52:32.827,123
2025-09-23 11:52:32.838,he
2025-09-23 11:52:32.934,123
2025-09-23 11:52:32.945,he
2025-09-23 11:52:33.030,123
2025-09-23 11:52:33.041,he
2025-09-23 11:52:33.136,123
2025-09-23 11:52:33.147,he
2025-09-23 11:52:33.232,123
2025-09-23 11:52:33.243,he
2025-09-23 11:52:33.340,123
2025-09-23 11:52:33.351,he
2025-09-23 11:52:33.436,123
2025-09-23 11:52:33.447,he
2025-09-23 11:52:33.543,123
2025-09-23 11:52:33.554,he
2025-09-23 11:52:33.638,123
2025-09-23 11:52:33.649,he
2025-09-23 11:52:33.747,123
2025-09-23 11:52:33.758,he
2025-09-23 11:52:33.843,123
2025-09-23 11:52:33.854,he
2025-09-23 11:52:33.952,123
2025-09-23 11:52:33.962,he
2025-09-23 11:52:34.048,123
2025-09-23 11:52:34.059,he
2025-09-23 11:52:34.144,123
2025-09-23 11:52:34.155,he
2025-09-23 11:52:34.252,123
2025-09-23 11:52:34.263,he
2025-09-23 11:52:34.349,123
2025-09-23 11:52:34.361,he
2025-09-23 11:52:34.456,123
2025-09-23 11:52:34.467,he
2025-09-23 11:52:34.562,123
2025-09-23 11:52:34.573,he
2025-09-23 11:52:34.657,123
2025-09-23 11:52:34.668,he
2025-09-23 11:52:34.766,123
2025-09-23 11:52:34.776,he
2025-09-23 11:52:34.862,123
2025-09-23 11:52:34.873,he
2025-09-23 11:52:34.967,123
2025-09-23 11:52:34.977,he
2025-09-23 11:52:35.062,123
2025-09-23 11:52:35.073,he
2025-09-23 11:52:35.171,123
2025-09-23 11:52:35.182,he
2025-09-23 11:52:35.270,123
2025-09-23 11:52:35.281,he
2025-09-23 11:52:35.369,123
2025-09-23 11:52:35.380,he
2025-09-23 11:52:35.477,123
2025-09-23 11:52:35.488,he
2025-09-23 11:52:35.573,123
2025-09-23 11:52:35.584,he
2025-09-23 11:52:35.681,123
2025-09-23 11:52:35.692,he
2025-09-23 11:52:35.778,123
2025-09-23 11:52:35.788,he
2025-09-23 11:52:35.884,123
2025-09-23 11:52:35.895,he
2025-09-23 11:52:35.981,123
2025-09-23 11:52:35.992,he
2025-09-23 11:52:36.088,123
2025-09-23 11:52:36.098,he
2025-09-23 11:52:36.184,123
2025-09-23 11:52:36.194,he
2025-09-23 11:52:36.291,123
2025-09-23 11:52:36.302,he
2025-09-23 11:52:36.387,123
2025-09-23 11:52:36.398,he
2025-09-23 11:52:36.485,123
2025-09-23 11:52:36.496,he
2025-09-23 11:52:36.592,123
2025-09-23 11:52:36.603,he
2025-09-23 11:52:36.689,123
2025-09-23 11:52:36.700,he
2025-09-23 11:52:36.797,123
2025-09-23 11:52:36.807,he
2025-09-23 11:52:36.896,123
2025-09-23 11:52:36.907,he
2025-09-23 11:52:37.003,123
2025-09-23 11:52:37.014,he
2025-09-23 11:52:37.099,123
2025-09-23 11:52:37.110,he
2025-09-23 11:52:37.197,123
2025-09-23 11:52:37.208,he
2025-09-23 11:52:37.306,123
2025-09-23 11:52:37.317,he
2025-09-23 11:52:37.402,123
2025-09-23 11:52:37.413,he
2025-09-23 11:52:37.510,123
2025-09-23 11:52:37.521,he
2025-09-23 11:52:37.606,123
2025-09-23 11:52:37.617,he
2025-09-23 11:52:37.714,123
2025-09-23 11:52:37.725,he
2025-09-23 11:52:37.810,123
2025-09-23 11:52:37.820,he
2025-09-23 11:52:37.916,123
2025-09-23 11:52:37.927,he
2025-09-23 11:52:38.013,123
2025-09-23 11:52:38.024,he
2025-09-23 11:52:38.122,123
2025-09-23 11:52:38.132,he
2025-09-23 11:52:38.219,123
2025-09-23 11:52:38.230,he
2025-09-23 11:52:38.317,123
2025-09-23 11:52:38.327,he
2025-09-23 11:52:38.422,123
2025-09-23 11:52:38.433,he
2025-09-23 11:52:38.521,123
2025-09-23 11:52:38.532,he
2025-09-23 11:52:38.629,123
2025-09-23 11:52:38.640,he
2025-09-23 11:52:38.725,123
2025-09-23 11:52:38.736,he
2025-09-23 11:52:38.832,123
2025-09-23 11:52:38.843,he
2025-09-23 11:52:38.929,123
2025-09-23 11:52:38.940,he
2025-09-23 11:52:39.036,123
2025-09-23 11:52:39.047,he
2025-09-23 11:52:39.133,123
2025-09-23 11:52:39.143,he
2025-09-23 11:52:39.240,123
2025-09-23 11:52:39.251,he
2025-09-23 11:52:39.336,123
2025-09-23 11:52:39.347,he
2025-09-23 11:52:39.442,123
2025-09-23 11:52:39.452,he
2025-09-23 11:52:39.539,123
